effort_id,vessel_nationality_code,fishing_purpose_code,gear_type_code,target_species_code,asd_code,season_ccamlr,year,month,vessel_size_category_code,vessel_count,fishing_days,trawl_duration_hours,haul_count,hook_count,pot_count
2037,SUN,C,OTB,ANI,5851,1970,1969,12,,,,,,,
626,SUN,C,OTB,MZZ,483,,1970,,,,,,,,
2038,SUN,C,OTB,ANI,5851,1971,1970,12,,,,,,,
627,SUN,C,OT,MZZ,483,,1971,,,,,,,,
628,SUN,C,OT,MZZ,58,,1971,,,,,,,,
2039,SUN,C,OTB,ANI,5851,1971,1971,2,,,,,,,
2040,SUN,C,OTB,ANI,5851,1971,1971,3,,,,,,,
2041,SUN,C,OTB,ANI,5851,1971,1971,4,,,,,,,
2042,SUN,C,OTB,ANI,5851,1971,1971,5,,,,,,,
2043,SUN,C,OTB,ANI,5851,1971,1971,6,,,,,,,
2054,SUN,C,OTB,ANI,5851,1971,1971,7,,,,,,,
2053,SUN,C,OTB,ANI,5851,1971,1971,8,,,,,,,
2051,SUN,C,OTB,ANI,5851,1971,1971,9,,,,,,,
2050,SUN,C,OTB,ANI,5851,1971,1971,10,,,,,,,
2055,SUN,C,OTB,ANI,5851,1971,1971,11,,,,,,,
2049,SUN,C,OTB,ANI,5851,1972,1971,12,,,,,,,
629,SUN,C,OT,MZZ,483,,1972,,,,,,,,
630,SUN,C,OT,MZZ,58,,1972,,,,,,,,
2044,SUN,C,OTB,ANI,5851,1972,1972,1,,,,,,,
2048,SUN,C,OTB,ANI,5851,1972,1972,2,,,,,,,
2052,SUN,C,OTB,ANI,5851,1972,1972,3,,,,,,,
2094,SUN,C,OTB,ANI,5851,1972,1972,3,,,,,,,
2047,SUN,C,OTB,ANI,5851,1972,1972,4,,,,,,,
2046,SUN,C,OTB,ANI,5851,1972,1972,5,,,,,,,
2108,SUN,C,OTB,ANI,5852,1972,1972,5,,,,,,,
2045,SUN,C,OTB,ANI,5851,1972,1972,6,,,,,,,
2059,SUN,C,OTB,ANI,5851,1972,1972,7,,,,,,,
2056,SUN,C,OTB,ANI,5851,1972,1972,8,,,,,,,
2058,SUN,C,OTB,ANI,5851,1972,1972,9,,,,,,,
2060,SUN,C,OTB,ANI,5851,1972,1972,10,,,,,,,
276,JPN,C,SX,KRI,481,1973,1972,12,10,1,1,,,,
277,JPN,C,SX,KRI,482,1973,1972,12,10,1,2,1,,,
279,JPN,C,SX,KRI,484,1973,1972,12,10,1,3,3,,,
2057,SUN,C,OTB,ANI,5851,1973,1972,12,,,,,,,
631,SUN,C,OT,MZZ,483,,1973,,,,,,,,
632,SUN,C,OT,MZZ,58,,1973,,,,,,,,
278,JPN,C,SX,KRI,483,1973,1973,1,10,1,1,1,,,
280,JPN,C,SX,KRI,484,1973,1973,1,10,1,12,48,,,
281,JPN,C,SX,KRI,486,1973,1973,1,10,1,13,121,,,
282,JPN,C,OTM,KRI,486,1974,1973,12,9,1,5,16,29,,
287,JPN,C,OTM,KRI,5844,1974,1973,12,9,1,18,109,,,
633,SUN,C,OT,KRI,48,,1974,,,,,,,,
634,SUN,C,OT,MZZ,483,,1974,,,,,,,,
635,SUN,C,OT,MZZ,58,,1974,,,,,,,,
283,JPN,C,OTM,KRI,486,1974,1974,1,9,1,9,39,64,,
285,JPN,C,OTM,KRI,5842,1974,1974,1,9,1,21,180,260,,
288,JPN,C,OTM,KRI,5844,1974,1974,1,9,1,21,182,,,
284,JPN,C,OTM,KRI,486,1974,1974,2,9,1,12,152,118,,
286,JPN,C,OTM,KRI,5842,1974,1974,2,9,1,3,4,5,,
2061,SUN,C,OTB,ANI,5851,1974,1974,5,,,,,,,
2110,SUN,C,OTB,ANI,5852,1974,1974,7,,,,,,,
2111,SUN,C,OTB,ANI,5852,1974,1974,8,,,,,,,
2109,SUN,C,OTB,ANI,5852,1974,1974,9,,,,,,,
2064,SUN,C,OTB,ANI,5851,1974,1974,10,,,,,,,
2112,SUN,C,OTB,ANI,5852,1974,1974,10,,,,,,,
292,JPN,C,OTM,KRI,5844,1974,1974,11,,1,1,4,,,
2065,SUN,C,OTB,ANI,5851,1974,1974,11,,,,,,,
2115,SUN,C,OTB,ANI,5852,1974,1974,11,,,,,,,
289,JPN,C,OTM,KRI,5842,1975,1974,12,,2,23,403,159,,
293,JPN,C,OTM,KRI,5844,1975,1974,12,,2,13,61,,,
2066,SUN,C,OTB,ANI,5851,1975,1974,12,,,,,,,
636,SUN,C,OT,KRI,48,,1975,,,,,,,,
637,SUN,C,OT,MZZ,483,,1975,,,,,,,,
638,SUN,C,OT,MZZ,58,,1975,,,,,,,,
290,JPN,C,OTM,KRI,5842,1975,1975,1,,2,25,686,179,,
2067,SUN,C,OTB,ANI,5851,1975,1975,1,,,,,,,
291,JPN,C,OTM,KRI,5842,1975,1975,2,,2,22,450,158,,
2068,SUN,C,OTB,ANI,5851,1975,1975,2,,,,,,,
2070,SUN,C,OTB,ANI,5851,1975,1975,3,,,,,,,
2069,SUN,C,OTB,ANI,5851,1975,1975,4,,,,,,,
2063,SUN,C,OTB,ANI,5851,1975,1975,5,,,,,,,
2113,SUN,C,OTB,ANI,5852,1975,1975,5,,,,,,,
2062,SUN,C,OTB,ANI,5851,1975,1975,6,,,,,,,
2114,SUN,C,OTB,ANI,5852,1975,1975,6,,,,,,,
2072,SUN,C,OTB,ANI,5851,1975,1975,7,,,,,,,
2116,SUN,C,OTB,ANI,5852,1975,1975,7,,,,,,,
299,JPN,C,OTM,KRI,5844,1975,1975,11,10,1,5,51,,,
294,JPN,C,OTM,KRI,5841,1976,1975,12,10,1,3,2,5,,
296,JPN,C,OTM,KRI,5842,1976,1975,12,10,2,27,302,192,,
300,JPN,C,OTM,KRI,5844,1976,1975,12,10,2,15,66,,,
639,SUN,C,OT,KRI,48,,1976,,,,,,,,
640,SUN,C,OT,MZZ,483,,1976,,,,,,,,
641,SUN,C,OT,MZZ,58,,1976,,,,,,,,
295,JPN,C,OTM,KRI,5841,1976,1976,1,10,1,8,18,19,,
297,JPN,C,OTM,KRI,5842,1976,1976,1,10,2,25,576,135,,
1422,POL,C,OTM,KRI,481,1976,1976,1,10,,3,10,,,
298,JPN,C,OTM,KRI,5842,1976,1976,2,10,2,18,233,114,,
1423,POL,C,OTM,KRI,483,1976,1976,2,10,,20,94,,,
1424,POL,C,OTM,KRI,483,1976,1976,3,10,,27,160,,,
2075,SUN,C,OTB,ANI,5851,1976,1976,3,,,,,,,
2073,SUN,C,OTB,ANI,5851,1976,1976,4,,,,,,,
2100,SUN,C,OTB,ANI,5851,1976,1976,4,,,,,,,
158,CHL,C,OTM,KRI,481,1976,1976,5,10,,28,44,,,
2071,SUN,C,OTB,ANI,5851,1976,1976,5,,,,,,,
159,CHL,C,OTM,KRI,481,1976,1976,6,10,,10,38,,,
2074,SUN,C,OTB,ANI,5851,1976,1976,6,,,,,,,
160,CHL,C,OTM,KRI,481,1976,1976,10,10,,20,56,,,
302,JPN,C,OTM,KRI,5841,1976,1976,11,10,1,16,82,130,,
308,JPN,C,OTM,KRI,5843,1976,1976,11,10,1,2,100,,,
309,JPN,C,OTM,KRI,5844,1976,1976,11,10,1,9,40,,,
301,JPN,C,OTM,KRI,881,1976,1976,11,10,1,2,2,3,,
1111,JPN,C,OTB,MZZ,5844,1977,1976,12,10,1,4,47,,,
303,JPN,C,OTM,KRI,5841,1977,1976,12,10,1,26,131,207,,
305,JPN,C,OTM,KRI,5842,1977,1976,12,10,2,37,68,252,,
310,JPN,C,OTM,KRI,5844,1977,1976,12,10,2,25,124,,,
2101,SUN,C,OTB,ANI,5851,1977,1976,12,,,,,,,
642,SUN,C,OT,KRI,48,,1977,,,,,,,,
645,SUN,C,OT,KRI,88,,1977,,,,,,,,
643,SUN,C,OT,MZZ,483,,1977,,,,,,,,
644,SUN,C,OT,MZZ,58,,1977,,,,,,,,
1112,JPN,C,OTB,MZZ,5844,1977,1977,1,10,1,13,139,,,
304,JPN,C,OTM,KRI,5841,1977,1977,1,10,1,22,99,119,,
306,JPN,C,OTM,KRI,5842,1977,1977,1,10,5,105,837,742,,
512,POL,C,OT,MZZ,483,1977,1977,1,,,18,,,,
2076,SUN,C,OTB,ANI,5851,1977,1977,1,,,,,,,
2102,SUN,C,OTB,ANI,5851,1977,1977,1,,,,,,,
307,JPN,C,OTM,KRI,5842,1977,1977,2,10,5,54,658,419,,
513,POL,C,OT,MZZ,483,1977,1977,2,,,38,,,,
2077,SUN,C,OTB,ANI,5851,1977,1977,2,,,,,,,
2103,SUN,C,OTB,ANI,5851,1977,1977,2,,,,,,,
514,POL,C,OT,MZZ,483,1977,1977,3,,,139,,,,
2078,SUN,C,OTB,ANI,5851,1977,1977,3,,,,,,,
515,POL,C,OT,MZZ,483,1977,1977,4,,,144,,,,
2079,SUN,C,OTB,ANI,5851,1977,1977,4,,,,,,,
177,DDR,C,OTB,MZZ,483,1977,1977,5,,,,,,,
1113,JPN,C,OTB,NOX,585,1977,1977,5,10,1,16,154,,,
516,POL,C,OT,MZZ,483,1977,1977,5,,,165,,,,
2080,SUN,C,OTB,ANI,5851,1977,1977,5,,,,,,,
178,DDR,C,OTB,MZZ,483,1977,1977,6,,,,,,,
1114,JPN,C,OTB,NOX,585,1977,1977,6,10,1,2,10,,,
1115,JPN,C,OTB,NOX,586,1977,1977,6,10,1,5,33,,,
517,POL,C,OT,MZZ,483,1977,1977,6,,,23,,,,
2081,SUN,C,OTB,ANI,5851,1977,1977,6,,,,,,,
2117,SUN,C,OTB,ANI,5852,1977,1977,6,,,,,,,
1126,JPN,C,OTB,NOX,585,1977,1977,7,10,1,15,143,,,
2089,SUN,C,OTB,ANI,5851,1977,1977,7,,,,,,,
2126,SUN,C,OTB,ANI,5852,1977,1977,7,,,,,,,
2087,SUN,C,OTB,ANI,5851,1977,1977,8,,,,,,,
2118,SUN,C,OTB,ANI,5852,1977,1977,8,,,,,,,
522,POL,C,OT,MZZ,483,1977,1977,9,10,,8,72,,,
2091,SUN,C,OTB,ANI,5851,1977,1977,9,,,,,,,
2120,SUN,C,OTB,ANI,5852,1977,1977,9,,,,,,,
518,POL,C,OT,MZZ,482,1977,1977,10,10,,2,20,,,
523,POL,C,OT,MZZ,483,1977,1977,10,10,,29,416,,,
2092,SUN,C,OTB,ANI,5851,1977,1977,10,,,,,,,
2121,SUN,C,OTB,ANI,5852,1977,1977,10,,,,,,,
1745,SUN,S,OTB,NOS,5844a,1977,1977,10,10,1,4,26,,,
1810,SUN,S,OTB,NOS,5844b,1977,1977,10,10,1,24,79,,,
1132,JPN,C,OTB,MZZ,5844,1977,1977,11,10,1,8,86,,,
1127,JPN,C,OTB,NOX,585,1977,1977,11,10,3,28,269,,,
316,JPN,C,OTM,KRI,5841,1977,1977,11,,2,31,39,59,,
320,JPN,C,OTM,KRI,5842,1977,1977,11,10,1,6,20,65,,
325,JPN,C,OTM,KRI,5843,1977,1977,11,10,1,1,3,,,
311,JPN,C,OTM,KRI,881,1977,1977,11,,1,8,11,25,,
524,POL,C,OT,MZZ,483,1977,1977,11,10,,154,1874,,,
532,POL,C,OTB,MZZ,585,1977,1977,11,10,,25,164,,,
2093,SUN,C,OTB,ANI,5851,1977,1977,11,,,,,,,
1746,SUN,S,OTB,NOS,5844a,1977,1977,11,10,1,36,138,,,
1811,SUN,S,OTB,NOS,5844b,1977,1977,11,10,1,18,46,,,
182,DDR,C,OTB,MZZ,483,1978,1977,12,,,14,,,,
191,DDR,C,OTB,MZZ,483,1978,1977,12,8,,53,,,,
1128,JPN,C,OTB,NOX,585,1978,1977,12,10,2,41,442,,,
317,JPN,C,OTM,KRI,5841,1978,1977,12,,11,196,1193,1242,,
321,JPN,C,OTM,KRI,5842,1978,1977,12,10,4,92,698,944,,
312,JPN,C,OTM,KRI,881,1978,1977,12,,1,2,8,14,,
519,POL,C,OT,MZZ,482,1978,1977,12,10,,52,559,,,
525,POL,C,OT,MZZ,483,1978,1977,12,10,,431,4591,,,
533,POL,C,OTB,MZZ,585,1978,1977,12,10,,13,90,,,
2090,SUN,C,OTB,ANI,5851,1978,1977,12,,,,,,,
146,SUN,C,OTM,MZZ,483,1978,1977,12,10,,10,105,,,
1747,SUN,S,OTB,NOS,5844a,1978,1977,12,10,1,65,761,,,
1812,SUN,S,OTB,NOS,5844b,1978,1977,12,10,1,2,17,,,
647,SUN,C,OT,ANI,482,,1978,,,,,,,,
648,SUN,C,OT,ANI,483,,1978,,,,,,,,
646,SUN,C,OT,KRI,48,,1978,,,,,,,,
649,SUN,C,OT,MZZ,58,,1978,,,,,,,,
183,DDR,C,OTB,MZZ,483,1978,1978,1,,,50,,,,
188,DDR,C,OTB,MZZ,483,1978,1978,1,,,45,,,,
192,DDR,C,OTB,MZZ,483,1978,1978,1,8,,202,,,,
1133,JPN,C,OTB,MZZ,5844,1978,1978,1,10,1,10,91,,,
1129,JPN,C,OTB,NOX,585,1978,1978,1,10,1,12,108,,,
1123,JPN,C,OTB,NOX,586,1978,1978,1,10,3,11,121,,,
318,JPN,C,OTM,KRI,5841,1978,1978,1,,12,316,3057,1733,,
322,JPN,C,OTM,KRI,5842,1978,1978,1,10,5,109,1112,821,,
313,JPN,C,OTM,KRI,881,1978,1978,1,,1,1,1,,,
526,POL,C,OT,MZZ,483,1978,1978,1,10,,538,7358,,,
534,POL,C,OTB,MZZ,585,1978,1978,1,10,,23,112,,,
536,POL,C,OTB,MZZ,88,1978,1978,1,10,,30,117,,,
2083,SUN,C,OTB,ANI,5851,1978,1978,1,,,,,,,
2099,SUN,C,OTB,ANI,5851,1978,1978,1,,,,,,,
2104,SUN,C,OTB,ANI,5851,1978,1978,1,,,,,,,
2122,SUN,C,OTB,ANI,5852,1978,1978,1,,,,,,,
147,SUN,C,OTM,MZZ,483,1978,1978,1,10,,38,514,,,
1748,SUN,S,OTB,NOS,5844a,1978,1978,1,10,3,35,695,,,
184,DDR,C,OTB,MZZ,483,1978,1978,2,,,18,,,,
189,DDR,C,OTB,MZZ,483,1978,1978,2,,,18,,,,
193,DDR,C,OTB,MZZ,483,1978,1978,2,8,,134,,,,
179,DDR,C,OTM,ANI,482,1978,1978,2,,,29,,,,
181,DDR,C,OTM,ANI,482,1978,1978,2,8,,23,,,,
1134,JPN,C,OTB,MZZ,5844,1978,1978,2,10,1,4,30,,,
1135,JPN,C,OTB,MZZ,586,1978,1978,2,9,1,11,184,,,
1130,JPN,C,OTB,NOX,585,1978,1978,2,10,2,5,42,,,
1124,JPN,C,OTB,NOX,586,1978,1978,2,10,3,28,313,,,
319,JPN,C,OTM,KRI,5841,1978,1978,2,,12,192,1541,1015,,
323,JPN,C,OTM,KRI,5842,1978,1978,2,10,3,75,824,446,,
314,JPN,C,OTM,KRI,881,1978,1978,2,,2,11,90,63,,
520,POL,C,OT,MZZ,482,1978,1978,2,10,,475,3993,,,
527,POL,C,OT,MZZ,483,1978,1978,2,10,,43,364,,,
535,POL,C,OTB,MZZ,585,1978,1978,2,10,,14,118,,,
537,POL,C,OTB,MZZ,88,1978,1978,2,10,,2,10,,,
2082,SUN,C,OTB,ANI,5851,1978,1978,2,,,,,,,
2098,SUN,C,OTB,ANI,5851,1978,1978,2,,,,,,,
2106,SUN,C,OTB,ANI,5851,1978,1978,2,,,,,,,
2123,SUN,C,OTB,ANI,5852,1978,1978,2,,,,,,,
144,SUN,C,OTM,MZZ,482,1978,1978,2,10,,24,227,,,
1813,SUN,S,OTB,NOS,5844b,1978,1978,2,10,1,23,240,,,
1402,SUN,S,OTM,ANS,5842,1978,1978,2,10,1,6,39.3,19,,
185,DDR,C,OTB,MZZ,483,1978,1978,3,,,3,,,,
190,DDR,C,OTB,MZZ,483,1978,1978,3,,,2,,,,
194,DDR,C,OTB,MZZ,483,1978,1978,3,8,,3,,,,
180,DDR,C,OTM,ANI,482,1978,1978,3,,,18,,,,
1136,JPN,C,OTB,MZZ,586,1978,1978,3,9,1,24,334,,,
1131,JPN,C,OTB,NOX,585,1978,1978,3,10,2,13,114,,,
1125,JPN,C,OTB,NOX,586,1978,1978,3,10,1,5,58,,,
324,JPN,C,OTM,KRI,5842,1978,1978,3,10,2,8,55,37,,
315,JPN,C,OTM,KRI,881,1978,1978,3,,1,2,21,12,,
521,POL,C,OT,MZZ,482,1978,1978,3,10,,456,4488,,,
528,POL,C,OT,MZZ,483,1978,1978,3,10,,39,388,,,
2086,SUN,C,OTB,ANI,5851,1978,1978,3,,,,,,,
2096,SUN,C,OTB,ANI,5851,1978,1978,3,,,,,,,
2107,SUN,C,OTB,ANI,5851,1978,1978,3,,,,,,,
2119,SUN,C,OTB,ANI,5852,1978,1978,3,,,,,,,
145,SUN,C,OTM,MZZ,482,1978,1978,3,10,,8,93,,,
1749,SUN,S,OTB,NOS,5844a,1978,1978,3,10,2,11,65,,,
1403,SUN,S,OTM,ANS,5842,1978,1978,3,10,2,29,153.6,61,,
186,DDR,C,OTB,MZZ,483,1978,1978,4,,,27,,,,
529,POL,C,OT,MZZ,483,1978,1978,4,10,,162,2189,,,
2088,SUN,C,OTB,ANI,5851,1978,1978,4,,,,,,,
2095,SUN,C,OTB,ANI,5851,1978,1978,4,,,,,,,
2125,SUN,C,OTB,ANI,5852,1978,1978,4,,,,,,,
1750,SUN,S,OTB,NOS,5844a,1978,1978,4,10,3,10,164,,,
187,DDR,C,OTB,MZZ,483,1978,1978,5,,,19,,,,
530,POL,C,OT,MZZ,483,1978,1978,5,10,,45,450,,,
2085,SUN,C,OTB,ANI,5851,1978,1978,5,,,,,,,
2097,SUN,C,OTB,ANI,5851,1978,1978,5,,,,,,,
2105,SUN,C,OTB,ANI,5851,1978,1978,5,,,,,,,
2124,SUN,C,OTB,ANI,5852,1978,1978,5,,,,,,,
1814,SUN,S,OTB,NOS,5844b,1978,1978,5,10,1,35,235,,,
531,POL,C,OT,MZZ,483,1978,1978,6,10,,90,882,,,
2084,SUN,C,OTB,ANI,5851,1978,1978,6,,,,,,,
1751,SUN,S,OTB,NOS,5844a,1978,1978,6,10,3,34,648,,,
550,POL,C,OT,MZZ,483,1978,1978,7,10,,89,1107,,,
650,SUN,C,OT,MZZ,48,1978,1978,7,7,,,,,,
668,SUN,C,OT,MZZ,58,1978,1978,7,7,,,,,,
1752,SUN,S,OTB,NOS,5844a,1978,1978,7,10,2,6,40,,,
1815,SUN,S,OTB,NOS,5844b,1978,1978,7,10,2,15,121,,,
551,POL,C,OT,MZZ,483,1978,1978,8,10,,99,1630,,,
669,SUN,C,OT,MZZ,58,1978,1978,8,7,,,,,,
1753,SUN,S,OTB,NOS,5844a,1978,1978,8,10,1,28,386,,,
552,POL,C,OT,MZZ,483,1978,1978,9,10,,34,745,,,
651,SUN,C,OT,MZZ,48,1978,1978,9,7,,,,,,
670,SUN,C,OT,MZZ,58,1978,1978,9,7,,,,,,
1754,SUN,S,OTB,NOS,5844a,1978,1978,9,10,2,10,141,,,
1816,SUN,S,OTB,NOS,5844b,1978,1978,9,10,1,9,140,,,
553,POL,C,OT,MZZ,483,1978,1978,10,10,,88,1215,,,
652,SUN,C,OT,MZZ,48,1978,1978,10,7,,,,,,
671,SUN,C,OT,MZZ,58,1978,1978,10,7,,,,,,
1755,SUN,S,OTB,NOS,5844a,1978,1978,10,10,2,9,120,,,
329,JPN,C,OTM,KRI,5841,1978,1978,11,,11,107,313,333,,
333,JPN,C,OTM,KRI,5842,1978,1978,11,,1,4,6,10,,
338,JPN,C,OTM,KRI,5843,1978,1978,11,10,2,6,1200,,,
339,JPN,C,OTM,KRI,5844,1978,1978,11,10,1,2,200,,,
554,POL,C,OT,MZZ,483,1978,1978,11,10,,8,100,,,
538,POL,C,OTB,MZZ,481,1978,1978,11,10,,180,2141,,,
653,SUN,C,OT,MZZ,48,1978,1978,11,7,,,,,,
330,JPN,C,OTM,KRI,5841,1979,1978,12,,12,329,2077,1732,,
334,JPN,C,OTM,KRI,5842,1979,1978,12,,4,82,734,801,,
545,POL,C,OT,MZZ,482,1979,1978,12,10,,234,2676,,,
539,POL,C,OTB,MZZ,481,1979,1978,12,10,,144,942,,,
654,SUN,C,OT,MZZ,48,1979,1978,12,7,,,,,,
149,SUN,C,OT,MZZ,482,1979,1978,12,10,,20,155,,,
672,SUN,C,OT,MZZ,58,1979,1978,12,7,,,,,,
195,DDR,C,OT,MZZ,481,,1979,,,,,,,,
196,DDR,C,OT,MZZ,482,,1979,,,,,,,,
197,DDR,C,OT,MZZ,483,,1979,,,,,,,,
677,SUN,C,OT,KRI,88,,1979,,,,,,,,
661,SUN,C,OT,MZZ,48,,1979,,7,,,,,,
662,SUN,C,OT,MZZ,481,,1979,,,,,,,,
663,SUN,C,OT,MZZ,482,,1979,,,,,,,,
667,SUN,C,OT,MZZ,483,,1979,,,,,,,,
1121,JPN,C,OTB,NOX,5844,1979,1979,1,10,1,15,121,,,
331,JPN,C,OTM,KRI,5841,1979,1979,1,,13,316,2996,1677,,
335,JPN,C,OTM,KRI,5842,1979,1979,1,,6,133,1440,1160,,
326,JPN,C,OTM,KRI,881,1979,1979,1,,3,13,130,85,,
492,KOR,C,OTM,KRI,584,1979,1979,1,11,1,8,75.3,,,
546,POL,C,OT,MZZ,482,1979,1979,1,10,,155,1748,,,
540,POL,C,OTB,MZZ,481,1979,1979,1,10,,271,3050,,,
655,SUN,C,OT,MZZ,48,1979,1979,1,7,,,,,,
150,SUN,C,OT,MZZ,482,1979,1979,1,10,,26,251,,,
664,SUN,C,OT,MZZ,483,1979,1979,1,,,,,,,
673,SUN,C,OT,MZZ,58,1979,1979,1,7,,,,,,
1122,JPN,C,OTB,NOX,5844,1979,1979,2,10,1,21,62,,,
332,JPN,C,OTM,KRI,5841,1979,1979,2,,12,281,2869,1898,,
336,JPN,C,OTM,KRI,5842,1979,1979,2,,5,82,882,556,,
327,JPN,C,OTM,KRI,881,1979,1979,2,,3,28,249,180,,
493,KOR,C,OTM,KRI,584,1979,1979,2,11,1,9,118.5,,,
547,POL,C,OT,MZZ,482,1979,1979,2,10,,234,2847,,,
541,POL,C,OTB,MZZ,481,1979,1979,2,10,,52,528,,,
656,SUN,C,OT,MZZ,48,1979,1979,2,7,,,,,,
665,SUN,C,OT,MZZ,483,1979,1979,2,,,,,,,
674,SUN,C,OT,MZZ,58,1979,1979,2,7,,,,,,
151,SUN,C,OT,NOX,483,1979,1979,2,10,,50,401,,,
1404,SUN,S,OTM,ANS,5842,1979,1979,2,10,1,7,37.4,20,,
337,JPN,C,OTM,KRI,5842,1979,1979,3,,1,13,144,82,,
328,JPN,C,OTM,KRI,881,1979,1979,3,,1,1,6,6,,
548,POL,C,OT,MZZ,482,1979,1979,3,10,,14,184,,,
542,POL,C,OTB,MZZ,481,1979,1979,3,10,,203,2105,,,
657,SUN,C,OT,MZZ,48,1979,1979,3,7,,,,,,
148,SUN,C,OT,MZZ,481,1979,1979,3,10,,1,16,,,
666,SUN,C,OT,MZZ,483,1979,1979,3,,,,,,,
675,SUN,C,OT,MZZ,58,1979,1979,3,7,,,,,,
152,SUN,C,OT,NOX,483,1979,1979,3,10,,23,263,,,
1817,SUN,S,OTB,NOS,5844b,1979,1979,3,10,1,5,34,,,
1405,SUN,S,OTM,ANS,5842,1979,1979,3,10,1,1,4.3,2,,
549,POL,C,OT,MZZ,482,1979,1979,4,10,,38,526,,,
543,POL,C,OTB,MZZ,481,1979,1979,4,10,,108,1277,,,
658,SUN,C,OT,MZZ,48,1979,1979,4,7,,,,,,
676,SUN,C,OT,MZZ,58,1979,1979,4,7,,,,,,
544,POL,C,OTB,MZZ,481,1979,1979,5,10,,68,913,,,
659,SUN,C,OT,MZZ,48,1979,1979,5,7,,,,,,
660,SUN,C,OT,MZZ,48,1979,1979,6,7,,,,,,
559,POL,C,OTB,MZZ,483,1979,1979,7,10,,68,1112,,,
560,POL,C,OTB,MZZ,483,1979,1979,8,10,,198,2023,,,
561,POL,C,OTB,MZZ,483,1979,1979,9,10,,169,2396,,,
247,FRA,C,OTB,MZZ,585,1979,1979,10,9,1,15,,,,
562,POL,C,OTB,MZZ,483,1979,1979,10,10,,219,3022,,,
248,FRA,C,OTB,MZZ,585,1979,1979,11,9,1,9,,,,
246,FRA,C,OTM,KRI,584,1979,1979,11,9,1,5,,,,
347,JPN,C,OTM,KRI,5841,1979,1979,11,,2,13,28,100,,
352,JPN,C,OTM,KRI,5842,1979,1979,11,,1,2,2,12,,
356,JPN,C,OTM,KRI,5843,1979,1979,11,10,1,7,7,,,
357,JPN,C,OTM,KRI,5844,1979,1979,11,10,1,4,10,,,
563,POL,C,OTB,MZZ,483,1979,1979,11,10,,190,2997,,,
1756,SUN,S,OTB,NOS,5844a,1979,1979,11,10,1,11,35,,,
348,JPN,C,OTM,KRI,5841,1980,1979,12,,12,148,785,637,,
353,JPN,C,OTM,KRI,5842,1980,1979,12,,15,105,791,806,,
340,JPN,C,OTM,KRI,881,1980,1979,12,10,1,12,59,107,,
564,POL,C,OTB,MZZ,483,1980,1979,12,10,,200,2689,,,
567,POL,C,OTB,MZZ,585,1980,1979,12,10,,31,239,,,
1818,SUN,S,OTB,NOS,5844b,1980,1979,12,10,1,15,109,,,
678,SUN,C,OT,KRI,481,,1980,,,,,,,,
679,SUN,C,OT,KRI,482,,1980,,,,,,,,
680,SUN,C,OT,KRI,483,,1980,,,,,,,,
681,SUN,C,OT,KRI,584,,1980,,,,,,,,
682,SUN,C,OT,MZZ,585,,1980,,,,,,,,
198,DDR,C,OTB,MZZ,482,1980,1980,1,,,21,,,,
202,DDR,C,OTB,MZZ,482,1980,1980,1,8,,83,,,,
349,JPN,C,OTM,KRI,5841,1980,1980,1,,10,299,1533,1852,,
354,JPN,C,OTM,KRI,5842,1980,1980,1,,6,126,1061,991,,
341,JPN,C,OTM,KRI,881,1980,1980,1,10,2,22,219,150,,
343,JPN,C,OTM,KRI,882,1980,1980,1,10,1,1,3,1,,
345,JPN,C,OTM,KRI,883,1980,1980,1,10,1,23,75,191,,
555,POL,C,OT,MZZ,481,1980,1980,1,10,,24,220,,,
565,POL,C,OTB,MZZ,483,1980,1980,1,10,,157,1889,,,
153,SUN,C,OT,MZZ,481,1980,1980,1,10,,13,96,,,
154,SUN,C,OT,MZZ,482,1980,1980,1,10,,11,90,,,
199,DDR,C,OTB,MZZ,482,1980,1980,2,,,26,,,,
203,DDR,C,OTB,MZZ,482,1980,1980,2,8,,190,,,,
350,JPN,C,OTM,KRI,5841,1980,1980,2,,14,204,1186,1339,,
355,JPN,C,OTM,KRI,5842,1980,1980,2,,2,12,77,61,,
342,JPN,C,OTM,KRI,881,1980,1980,2,10,1,21,209,153,,
346,JPN,C,OTM,KRI,883,1980,1980,2,10,1,23,156,235,,
556,POL,C,OT,MZZ,481,1980,1980,2,10,,118,1420,,,
557,POL,C,OT,MZZ,482,1980,1980,2,10,,37,447,,,
155,SUN,C,OT,MZZ,482,1980,1980,2,10,,15,125,,,
156,SUN,C,OT,NOX,483,1980,1980,2,10,,10,100,,,
1406,SUN,S,OTM,ANS,5842,1980,1980,2,10,1,4,14.6,7,,
200,DDR,C,OTB,MZZ,482,1980,1980,3,,,43,,,,
204,DDR,C,OTB,MZZ,482,1980,1980,3,8,,248,,,,
351,JPN,C,OTM,KRI,5841,1980,1980,3,,1,15,108,96,,
344,JPN,C,OTM,KRI,882,1980,1980,3,10,1,2,1,,,
558,POL,C,OT,MZZ,482,1980,1980,3,10,,59,616,,,
157,SUN,C,OT,NOX,483,1980,1980,3,10,,13,101,,,
201,DDR,C,OTB,MZZ,482,1980,1980,4,,,48,,,,
205,DDR,C,OTB,MZZ,482,1980,1980,4,8,,61,,,,
1757,SUN,S,OTB,NOS,5844a,1980,1980,4,10,3,25,347,,,
1758,SUN,S,OTB,NOS,5844a,1980,1980,5,10,3,26,355,,,
